subject_gait,take_id,mpjpe_3d,mpjpe_raw,dtw_3d_traj,mpjre,dtw_6d_transl,mpjpe_6d,jitter_c1,jitter_c2,pampjpe_3d,pampjpe_6d,action
gait_114,20251222_c1_a4_Take2,0.06970983585606388,0.06582207279790556,0.027823188553769404,0.10901199797413999,0.028909332537258692,0.06066188996251381,352.4842529296875,341.2260437011719,0.024018149311641968,0.021174525614375033,a4
gait_114,20251222_c1_a5_Take1,0.27136650217319147,0.2577250970175643,0.08753915262530956,0.1816654604497943,0.10303981835382557,0.2323293308773156,367.29791259765625,260.524658203125,0.08295920178104359,0.06187238264929928,a5
gait_114,20251222_c1_a5_Take2,0.15823353680421318,0.15089277392900474,0.05003200621219068,0.1518049711003999,0.05413237183048032,0.13584434744198245,381.2604675292969,293.600341796875,0.059604316646136996,0.04663581471271314,a5
gait_133,20251112_c1_a1_Take1,0.20291907470129786,0.19260067358001728,0.10542393541450576,0.19912582146664426,0.10886364583950503,0.1778806065785097,324.334716796875,329.47784423828125,0.04944473205243957,0.03733623809522022,a1
gait_133,20251112_c1_a1_Take2,0.14999288559964818,0.14006916037254255,0.045341075948659694,0.2110675168887048,0.04251495374082463,0.11326305401623153,397.9281921386719,380.3725891113281,0.06185970909751264,0.04316751780892598,a1
gait_133,20251112_c1_a2_Take1,0.1468141058295273,0.13666602580538084,0.06164169827394154,0.35994863541314165,0.05029877378531328,0.11476302621257532,450.8759765625,432.8937683105469,0.05450792867511746,0.05110841937101446,a2
gait_133,20251112_c1_a2_Take2,0.14649841654149104,0.1388961221927203,0.06749242070040602,0.2018553267096754,0.07147297911027502,0.12406207967117011,468.9840393066406,324.062744140625,0.05150191777634048,0.0386637013600343,a2
gait_133,20251112_c1_a3_Take1,0.2734311101647703,0.2604098781004877,0.29813899498136776,0.22226917050895126,0.3114700231617218,0.24982264360659384,386.5478210449219,270.2974548339844,0.0647439672110126,0.04708332102473111,a3
gait_133,20251112_c1_a3_Take2,0.15748670303193218,0.14976797199702793,0.11109152233155394,0.20118528880562034,0.10233860118095545,0.14127807655223812,322.63397216796875,303.52545166015625,0.04468593323386053,0.03439718908883472,a3
gait_133,20251112_c1_a3_Take3,0.16091600438970893,0.15214832427354447,0.07650503292284967,0.31834214981068343,0.07271860240962869,0.1439598960151946,321.50299072265625,360.5543518066406,0.09005622092839972,0.08369163617643595,a3
gait_133,20251112_c1_a4_Take1,0.11151324806154127,0.10472440021585688,0.0658558404878092,0.21360335685638188,0.058192151295784734,0.08739274546326226,316.1773376464844,311.38616943359375,0.060391541124493055,0.048107845045662435,a4
gait_133,20251112_c1_a4_Take2,0.12777499872961084,0.11990219253490951,0.09164540773220668,0.2097270302108219,0.08814147201082849,0.0965496316611813,317.19342041015625,316.9158630371094,0.05185940220703677,0.03962543198214287,a4
gait_133,20251112_c1_a5_Take1,0.19339800421682773,0.18447947279799934,0.10561496096798055,0.2809626657946632,0.09520382876979742,0.18554275157105493,261.0576477050781,270.4505310058594,0.06516009836342995,0.055202711289245324,a5
gait_133,20251112_c1_a5_Take2,0.18145313340891062,0.1719195491533664,0.12364235489590537,0.2802157567041018,0.12686411016018562,0.16749451613778635,327.9826354980469,262.8369140625,0.06143751188071723,0.0510043208407119,a5
gait_354,20251222_c1_a1_Take1,0.10397890488800222,0.09895566525586594,0.061142575341112254,0.12561131078620275,0.05815452405522193,0.09421258737711653,328.2973327636719,295.06549072265625,0.033608206489581356,0.026411816706033674,a1
gait_354,20251222_c1_a1_Take2,0.1375941388193524,0.1310273779287061,0.038508331846646975,0.13554302700599907,0.033342314934644145,0.12503000117301266,417.59002685546875,397.6083984375,0.0253217659900648,0.02140467158633439,a1
gait_354,20251222_c1_a2_Take1,0.14436253228881651,0.1351164805419904,0.05310880987226375,0.1781867849650143,0.05492206243735058,0.10862997233350181,526.3884887695312,606.8285522460938,0.05532938452384156,0.03982831514682613,a2
gait_354,20251222_c1_a2_Take2,0.08658857367879506,0.08119274929136083,0.0456022796220369,0.1678864111683446,0.04512204728969556,0.06859525419861995,641.4197998046875,444.4351501464844,0.047416454802247446,0.03807342379793384,a2
gait_354,20251222_c1_a3_Take1,0.13812966876322694,0.13207538414121786,0.10863229903098263,0.14240650430987187,0.11175985057190557,0.12364504150741876,337.3502502441406,292.2939147949219,0.031249259686534823,0.023596644720977195,a3
gait_354,20251222_c1_a3_Take2,0.23177343035824072,0.2211619956246549,0.17533791887412262,0.2020722965548383,0.1746946244932212,0.21596404949664258,317.51605224609375,314.5589904785156,0.04445224876298045,0.035685214103526354,a3
gait_354,20251222_c1_a3_Take3,0.15541766614503066,0.14802269765946044,0.14134129546669014,0.15068045167431626,0.14308572505012146,0.13776898565777898,359.43646240234375,310.3025207519531,0.04416188268281987,0.033039615763525224,a3
gait_354,20251222_c1_a4_Take1,0.1299540128533864,0.12374721566420789,0.0616779662711755,0.18486293600108586,0.07369953879636022,0.1201847959998273,512.682373046875,400.54083251953125,0.03682923387543913,0.0324755980690324,a4
gait_354,20251222_c1_a4_Take2,0.09121377515313057,0.08698638252338044,0.04536520409120565,0.12338107486817224,0.048050983436404966,0.08029041193083267,504.6643371582031,428.53228759765625,0.021235908078908575,0.015863312359747674,a4
gait_354,20251222_c1_a5_Take1,0.11905295801295225,0.11322155360924588,0.0773469447517776,0.15740016701986817,0.09088754636793962,0.11056128634245146,248.5792694091797,232.15357971191406,0.03203081611281764,0.027890618928372655,a5
gait_354,20251222_c1_a5_Take2,0.10147319194113316,0.095627526473289,0.058342739318106795,0.18654690475725416,0.06329827669306168,0.08416336761101917,271.2164001464844,263.1618957519531,0.04797454164908568,0.038138997593864216,a5
gait_390,20251016_c1_a1_Take1,0.12469875715358332,0.11735383672744296,0.06006399504117991,0.09679666872012152,0.0670035832317813,0.099469870278421,444.1159973144531,404.367431640625,0.03292675428373114,0.023372466153018544,a1
gait_390,20251016_c1_a1_Take2,0.15491591261364313,0.14554365159238652,0.09344194298407328,0.10816476011087305,0.09655404633335081,0.12448697385027986,389.717529296875,382.4766540527344,0.03409696150945484,0.026193599124947772,a1
gait_390,20251016_c1_a2_Take1,0.1601020979160207,0.14937515131281773,0.03891006176453611,0.11319186419442565,0.037105024498400495,0.11862957569682932,441.8971252441406,385.9690856933594,0.048396677509493086,0.033786219741424504,a2
gait_390,20251016_c1_a2_Take2,0.06160068949360204,0.058726611259091115,0.035066063338311235,0.09237467606289623,0.03454212898848561,0.05852087926526943,452.6098937988281,409.77923583984375,0.026329408133542717,0.02223824670736877,a2
gait_390,20251016_c1_a3_Take1,0.12761528834084776,0.12166568160122916,0.08348466674014474,0.10242536864864026,0.08483300763947595,0.11803179132075622,365.91766357421875,349.18267822265625,0.031019924381078878,0.022571176870718888,a3
gait_390,20251016_c1_a3_Take2,0.10958407169473675,0.104470854981264,0.06552861279253398,0.10302585595475398,0.06559534634930762,0.0986168547820929,390.4707336425781,361.11285400390625,0.02947892513460791,0.02229536493000696,a3
gait_390,20251016_c1_a3_Take3,0.13428995665074914,0.12721282507045387,0.14530575736964968,0.1063225177717505,0.1414615015777469,0.1167510038895788,376.5740051269531,358.60028076171875,0.041485329567526076,0.029366557715669404,a3
gait_390,20251016_c1_a4_Take1,0.07470891761472356,0.07087366742233053,0.03575990956407638,0.1429678253763059,0.03310601812343778,0.06671379558241694,397.1689453125,383.5924377441406,0.02916975753660503,0.02425694778948499,a4
gait_390,20251016_c1_a4_Take2,0.15194194458539867,0.1423319169856434,0.04663063444053503,0.16243404946896098,0.04777889655068796,0.11466393200512376,412.5957336425781,376.4429931640625,0.035928665116655024,0.027897829089999427,a4
gait_390,20251016_c1_a5_Take1,0.1209447151501466,0.11463898233549304,0.051345630272204526,0.15023363274175008,0.06744742784840861,0.10360733032031856,332.490966796875,313.6754455566406,0.04289504072412453,0.035354288747093836,a5
gait_390,20251016_c1_a5_Take2,0.14389965892327117,0.13861389753648964,0.06247455165096579,0.1083952787518142,0.09660852876100877,0.14253344906349405,320.8458557128906,332.7431945800781,0.029003895839732733,0.02280891030329761,a5
gait_520,20251105_c1_a1_Take1,0.16687000119517595,0.1584265512833121,0.10837699832643385,0.14683857816357984,0.10866700717493066,0.14866160383183982,431.1249084472656,369.6409606933594,0.05903451473541477,0.04471522293714846,a1
gait_520,20251105_c1_a1_Take2,0.1667785212085931,0.15687913281644061,0.05231021889618627,0.12407389018351504,0.05927986713053925,0.13143739878607216,418.1047668457031,333.2502746582031,0.05760546633628955,0.038819318866215244,a1
